OSMP MDR - ISO 20022 Data Dictionary (Full eRepository)
Source: ISO 20022 eRepository 2025-04-24
"Unique definitions: 66,956","Raw: 9,131,908 bytes","D:PACK: 1,170,864 bytes"

name,definition,occurrences
AAMVAFormat,American driver license.,1
ABSDenominUnitsorUndividedInterest,"ABS Denomination in ""Units"" or ""Undivided Interest"".",1
ABSDenominationUnitsOrUndividedInterest,"Asset is an asset-backed security denomination in ""Units"" or ""Undivided Interest"".",1
ACCRO,Associated Canadian Car Rental Operators,1
ACH,"Automated Clearing House. Payment system that clears cash transfers and settles the proceeds in a lump sum, usually on a multilateral netting basis.",4
ACHOrMass,Investigation is related to an ACH or mass payment.,1
ACRA,American Car Rental Association.,1
ADR,Identifies when the event security is an ADR. The underlying security is American Depositary Receipt.,1
ADRFee,Charge linked to an ADR (American Depositary Receipt).,1
ADRIssueFeeCharge,American Depository R issue fee charge adjustment.,2
ADRIssueFeeCharge,American Depository Receipt issue fee charge adjustment.,1
ADRIssueFeeReversal,ADR issue fee reversal adjustment.,3
AES,Advanced encryption standard.,1
AES128,"AES (Advanced Encryption Standard) 128 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 - November 6, 2001 - Advanced Encryption Standard).",1
AES128CBC,"AES (Advanced Encryption Standard) CBC (Chaining Block Cypher) encryption with a 128 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 - November 6, 2001 - Advanced Encryption Standard).",1
AES128CTR,"AES (Advanced Encryption Standard) CTR (Counter) encryption with a 128 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 - November 6, 2001 - Advanced Encryption Standard).",1
AES192,"AES (Advanced Encryption Standard) encryption with a 192 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 – November 6, 2001 - Advanced Encryption Standard).",1
AES192CBC,"AES (Advanced Encryption Standard) CBC (Chaining Block Cypher) encryption with a 192 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 – November 6, 2001 - Advanced Encryption Standard).",1
AES192CTR,"AES (Advanced Encryption Standard) CTR (Counter) encryption with a 192 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 - November 6, 2001 - Advanced Encryption Standard).",1
AES256,"AES (Advanced Encryption Standard) encryption with a 256 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 – November 6, 2001 - Advanced Encryption Standard).",1
AES256CBC,"AES (Advanced Encryption Standard) CBC (Chaining Block Cypher) encryption with a 256 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 – November 6, 2001 - Advanced Encryption Standard).",1
AES256CTR,"AES (Advanced Encryption Standard) CTR (Counter) encryption with a 256 bits cryptographic key as defined by the Federal Information Processing Standards (FIPS 197 - November 6, 2001 - Advanced Encryption Standard).",1
AESDUKPT,AES with DUKPT,1
AESDUKPT128ECB,"AES DUKPT (Derived Unique Key Per Transaction) ECB algorithm, as specified in ANSI X9.24-3-2017 Annex A, With key length of 128 bits.",1
AESDUKPT192ECB,"AES DUKPT (Derived Unique Key Per Transaction) ECB algorithm, as specified in ANSI X9.24-3-2017 Annex A.With key length of 192 bits.",1
AESDUKPT256ECB,"AES DUKPT (Derived Unique Key Per Transaction) ECB algorithm, as specified in ANSI X9.24-3-2017 Annex A.With key length of 256 bits.",1
AM,Ante meridiem or before noon time period.,1
AMFDoctrine,"Approach of the Autorite des Marches Financiers (AMF) recommendation 2020-03 to which the fund complies. When used in reference to MiFID, this is in the scope of the European MiFID Template (EMT V3.1) reference 01020.",1
AMFDoctrine1Code,Specifies the approach of the Autorite des Marches Financiers (AMF) recommendation 2020-03 to which the fund complies.,1
AMFDoctrineCode,Specifies the approach of the Autorite des Marches Financiers (AMF) recommendation 2020-03 to which the fund complies.,1
AMLDocuments,Order is accepted for further processing but the execution of the order is pending until the required anti-money laundering documentation is presented to the transfer agent.,1
