OSMP MDR - ISO 20022 Message Definitions (Full eRepository)
Source: ISO 20022 eRepository 2025-04-24
Messages: 810,"Dictionary: 66,956 definitions","D:PACK: 1,170,864 bytes"
Patent pending,Inventor: Clay Holberg

message_id,message_name,definition
acmt.001.001.08,AccountOpeningInstructionV08,"Scope The AccountOpeningInstruction message is sent by an account owner, for example, an investor or its designated agent to the account servicer, for example, a registrar, transfer agent, custodian or securities depository, to instruct the opening of an account or the opening of an account and the establishment of an investment plan. Usage The AccountOpeningInstruction is used to open an account directly or indirectly with the account servicer or an intermediary. In some markets, for example, Australia, and for some products in the United Kingdom, a first order (also known as a deposit instruction) is placed at the same time as the account opening. To cater for this scenario, an order message can be linked (via references in the message) to the AccountOpeningInstruction message when needed. Execution of the AccountOpeningInstruction is confirmed via an AccountDetailsConfirmation message."
acmt.002.001.08,AccountDetailsConfirmationV08,"Scope The AccountDetailsConfirmation message is sent by an account servicer, for example, a registrar, transfer agent, custodian bank or securities depository to the account owner, for example, an investor to confirm the opening of an account, execution of an AccountModificationInstruction or to return information requested in a GetAccountDetails message. Usage The AccountDetailsConfirmation message is used to confirm the opening of an account, modification of an account or the provision of information requested in a previously sent GetAccountDetails message. The message contains detailed information relevant to the opened account. When the AccountDetailsConfirmation is used to confirm execution of an AccountModificationInstruction message, it may: - contain the modified subsets of account details that were specified in the AccountModificationInstruction, and/or - provide the status of the account. When the AccountModificationInstruction message is used to instruct the closure of an account, the AccountDetailsConfirmation message is used to confirm the account has been closed.  When the AccountDetailsConfirmation is used to reply to a GetAccountDetails message, it returns the selected subsets of account details that were specified in the GetAccountDetails message."
acmt.003.001.08,AccountModificationInstructionV08,"Scope The AccountModificationInstruction message is sent by an account owner, for example, an investor or its designated agent to the account servicer, for example, a registrar, transfer agent, custodian bank or securities depository to modify, that is, create, update or delete specific details of an existing account. Usage The AccountModificationInstruction message is used to modify the details of an existing account. The AccountModificationInstruction message can be used to: - maintain/update any of the existing account details, for example, to update the address of the beneficiary or modify the preference to income from distribution to capitalisation, or, - add/create specific details to the existing account when these details were not yet recorded at the time of account creation, for example, to add a second address or to establish new cash settlement standing instructions, or, - delete specific account details, for example, delete cash standing instructions, or, - instruct a change to the status of the account, for example, instruct the closure of the account. The usage of this message may be subject to service level agreement (SLA) between the counterparties. Execution of the AccountModificationInstruction is confirmed via an AccountDetailsConfirmation message."
acmt.005.001.06,RequestForAccountManagementStatusReportV06,"Scope The RequestForAccountManagementStatusReport message is sent by an account owner, for example, an investor or its designated agent, to the account servicer, for example, a registrar, transfer agent, custodian bank or securities depository to request the status of an AccountOpeningInstruction, GetAccountDetails or an AccountModificationInstruction. Usage The RequestForAccountManagementStatusReport message is used to request the processing status of a previously sent AccountOpeningInstruction, GetAccountDetails or an AccountModificationInstruction message for which an AccountDetailsConfirmation message has not yet been received."
acmt.006.001.07,AccountManagementStatusReportV07,"Scope The AccountManagementStatusReport message is sent by an account servicer, for example, a registrar, transfer agent, custodian bank or securities depository to the account owner or its designated agent, for example, an investor to report on the receipt or the processing status of a previously received account management message. Usage The AccountManagementStatusReport message is used to provide the status of a previously received AccountOpeningInstruction, an AccountModificationInstruction or a GetAccountDetails message. It may also be used to report the status of the account.  The AccountManagementStatusReport message is also used to reject an AccountOpeningInstruction, AccountModificationInstruction or GetAccountDetails message when the message is not compliant with the agreed SLA or when the account cannot be uniquely identified."
acmt.007.001.05,AccountOpeningRequestV05,The AccountOpeningRequest message is sent from an organisation to a financial institution as part of the account opening process. It is the initial request message to open an account.
acmt.008.001.05,AccountOpeningAmendmentRequestV05,The AccountOpeningAmendmentRequest message is sent from an organisation to a financial institution as part of the account opening process. It is sent in response to a request from the financial institution to send additional information.
acmt.009.001.04,AccountOpeningAdditionalInformationRequestV04,"The AccountOpeningAdditionalInformationRequest message is sent from a financial institution to an organisation as part of the account opening process. This message is sent in response to an opening request message from the organisation, if the business content is valid, but additional information is required."
acmt.010.001.04,AccountRequestAcknowledgementV04,The AccountRequestAcknowledgement message is sent from a financial institution to an organisation. This message is sent in response to a request message from the organisation. It is sent after the request has been validated from an authentication and authorisation point of view. The business content has not yet been validated at this stage.
acmt.011.001.04,AccountRequestRejectionV04,"The AccountRequestRejection message is sent from a financial institution to an organisation. This message is sent in response to a request message from the organisation, if the business content is not valid."
acmt.012.001.04,AccountAdditionalInformationRequestV04,"The AccountAdditionalInformationRequest message is sent from a financial institution to an organisation as part of maintenance process. This message is sent in response to a maintenance request message from the organisation, if the business content is valid, but additional information is required."
acmt.013.001.04,AccountReportRequestV04,"The AccountReportRequest message is sent from an organisation to a financial institution for reporting purposes. It is a request for an account report. This message can be sent at any time outside of account opening, maintenance or closing processes."
acmt.014.001.05,AccountReportV05,"The AccountReport message is sent from a financial institution to an organisation for reporting purposes. It can be sent unsolicited as part of opening, maintenance, or closing process, or it can be sent as response to an AccountReportRequest message."
acmt.015.001.04,AccountExcludedMandateMaintenanceRequestV04,"The AccountExcludedMandateMaintenanceRequest message is sent from an organisation to a financial institution as part of the account maintenance process. It is the initial request message to update an account. Usage: this update is about account details excluding any mandate information. If modification codes are not used: the organisation will specify under the “Account” and “Organisation” tags the complete information as it should be in the financial institution’s records after processing the update request.  If modification codes are used (in that case, they must be used everywhere): the organisation will specify under the “Account” and “Organisation” tags which elements must be added, deleted, modified, or if they are unchanged."
